time_s,max_depth_m,flooded_area_m2
0.0,0.000,0.0
36.0,0.000,0.0
72.0,0.000,0.0
108.0,0.000,0.0
144.0,0.000,0.0
180.0,0.000,0.0
216.0,0.000,0.0
252.0,0.000,0.0
288.0,0.000,0.0
324.0,0.000,0.0
360.0,0.000,0.0
396.0,0.000,0.0
432.0,0.000,0.0
468.0,0.000,0.0
504.0,0.000,0.0
540.0,0.000,0.0
576.0,0.000,0.0
612.0,0.000,0.0
648.0,0.000,0.0
684.0,0.000,0.0
720.0,0.000,0.0
756.0,0.000,0.0
792.0,0.000,0.0
828.0,0.000,0.0
864.0,0.000,0.0
900.0,0.000,0.0
936.0,0.000,0.0
972.0,0.000,0.0
1008.0,0.000,0.0
1044.0,0.000,0.0
1080.0,0.000,0.0
1116.0,0.000,0.0
1152.0,0.000,0.0
1188.0,0.000,0.0
1224.0,0.000,0.0
1260.0,0.000,0.0
1296.0,0.000,0.0
1332.0,0.000,0.0
1368.0,0.000,0.0
1404.0,0.000,0.0
1440.0,0.000,0.0
1476.0,0.000,0.0
1512.0,0.000,0.0
1548.0,0.000,0.0
1584.0,0.000,0.0
1620.0,0.000,0.0
1656.0,0.000,0.0
1692.0,0.000,0.0
1728.0,0.000,0.0
1764.0,0.000,0.0
1800.0,0.000,0.0
1836.0,0.000,0.0
1872.0,0.000,0.0
1908.0,0.000,0.0
1944.0,0.000,0.0
1980.0,0.000,0.0
2016.0,0.000,0.0
2052.0,0.000,0.0
2088.0,0.000,0.0
2124.0,0.000,0.0
2160.0,0.000,0.0
2196.0,0.000,0.0
2232.0,0.000,0.0
2268.0,0.000,0.0
2304.0,0.000,0.0
2340.0,0.000,0.0
2376.0,0.000,0.0
2412.0,0.000,0.0
2448.0,0.000,0.0
2484.0,0.000,0.0
2520.0,0.000,0.0
2556.0,0.000,0.0
2592.0,0.000,0.0
2628.0,0.000,0.0
2664.0,0.000,0.0
2700.0,0.000,0.0
2736.0,0.000,0.0
2772.0,0.000,0.0
2808.0,0.000,0.0
2844.0,0.000,0.0
2880.0,0.000,0.0
2916.0,0.000,0.0
2952.0,0.000,0.0
2988.0,0.000,0.0
3024.0,0.000,0.0
3060.0,0.000,0.0
3096.0,0.000,0.0
3132.0,0.000,0.0
3168.0,0.000,0.0
3204.0,0.000,0.0
3240.0,0.000,0.0
3276.0,0.000,0.0
3312.0,0.000,0.0
3348.0,0.000,0.0
3384.0,0.000,0.0
3420.0,0.000,0.0
3456.0,0.000,0.0
3492.0,0.000,0.0
3528.0,0.000,0.0
3564.0,0.000,0.0
3600.0,0.000,0.0
3636.0,0.000,0.0
3672.0,0.000,0.0
3708.0,0.000,0.0
3744.0,0.000,0.0
3780.0,0.000,0.0
3816.0,0.000,0.0
3852.0,0.000,0.0
3888.0,0.000,0.0
3924.0,0.000,0.0
3960.0,0.000,0.0
3996.0,0.000,0.0
4032.0,0.000,0.0
4068.0,0.000,0.0
4104.0,0.000,0.0
4140.0,0.000,0.0
4176.0,0.000,0.0
4212.0,0.000,0.0
4248.0,0.000,0.0
4284.0,0.000,0.0
4320.0,0.000,0.0
4356.0,0.000,0.0
4392.0,0.000,0.0
4428.0,0.000,0.0
4464.0,0.000,0.0
4500.0,0.000,0.0
4536.0,0.000,0.0
4572.0,0.000,0.0
4608.0,0.000,0.0
4644.0,0.000,0.0
4680.0,0.000,0.0
4716.0,0.000,0.0
4752.0,0.000,0.0
4788.0,0.000,0.0
4824.0,0.000,0.0
4860.0,0.000,0.0
4896.0,0.000,0.0
4932.0,0.000,0.0
4968.0,0.000,0.0
5004.0,0.000,0.0
5040.0,0.000,0.0
5076.0,0.000,0.0
5112.0,0.000,0.0
5148.0,0.000,0.0
5184.0,0.000,0.0
5220.0,0.000,0.0
5256.0,0.000,0.0
5292.0,0.000,0.0
5328.0,0.000,0.0
5364.0,0.000,0.0
5400.0,0.000,0.0
5436.0,0.000,0.0
5472.0,0.000,0.0
5508.0,0.000,0.0
5544.0,0.000,0.0
5580.0,0.000,0.0
5616.0,0.000,0.0
5652.0,0.000,0.0
5688.0,0.000,0.0
5724.0,0.000,0.0
5760.0,0.000,0.0
5796.0,0.000,0.0
5832.0,0.000,0.0
5868.0,0.000,0.0
5904.0,0.000,0.0
5940.0,0.000,0.0
5976.0,0.000,0.0
6012.0,0.000,0.0
6048.0,0.000,0.0
6084.0,0.000,0.0
6120.0,0.000,0.0
6156.0,0.000,0.0
6192.0,0.000,0.0
6228.0,0.000,0.0
6264.0,0.000,0.0
6300.0,0.000,0.0
6336.0,0.000,0.0
6372.0,0.000,0.0
6408.0,0.000,0.0
6444.0,0.000,0.0
6480.0,0.000,0.0
6516.0,0.000,0.0
6552.0,0.000,0.0
6588.0,0.000,0.0
6624.0,0.000,0.0
6660.0,0.000,0.0
6696.0,0.000,0.0
6732.0,0.000,0.0
6768.0,0.000,0.0
6804.0,0.000,0.0
6840.0,0.000,0.0
6876.0,0.000,0.0
6912.0,0.000,0.0
6948.0,0.000,0.0
6984.0,0.000,0.0
7020.0,0.000,0.0
7056.0,0.000,0.0
7092.0,0.000,0.0
7128.0,0.000,0.0
7164.0,0.000,0.0
